[8 S, 11 D],52.0,41.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,
[8 S, 12 D],55.0,40.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,
[8 S, 13 D],52.0,40.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,
[8 S, 14 D],55.0,43.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
[9 S, 10 D],55.0,41.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,
[9 S, 11 D],46.0,45.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,
[9 S, 12 D],63.0,30.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,
[9 S, 13 D],59.0,35.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,
[9 S, 14 D],55.0,40.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
[10 S, 11 D],47.0,41.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,
[10 S, 12 D],49.0,43.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,
[10 S, 13 D],44.0,51.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,
[10 S, 14 D],44.0,44.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,
[11 S, 12 D],57.0,36.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,
[11 S, 13 D],58.0,34.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,
[11 S, 14 D],50.0,47.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,
[12 S, 13 D],51.0,43.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,
[12 S, 14 D],56.0,39.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,
[13 S, 14 D],51.0,44.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,
